# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
     1   2.0650353490e-06   0.0000000000e+00   2.0558698139e-06   0.0000000000e+00      -8.261500      -8.257500
     2   2.2236472634e-05   1.2528966100e-01   2.1826926041e-05   1.5458029630e-01      -7.465700      -7.461300
     3   3.8309643772e-06   1.0968611020e-02   3.9173236394e-06   1.4553804339e-02      -7.236100      -7.235000
     4   3.9377978248e-06   1.1632179325e-02   3.9395252526e-06   1.4727387981e-02      -7.235600      -7.234200
     5   3.9443756423e-06   1.1673035735e-02   4.0934457931e-06   1.5930818009e-02      -7.224800      -7.221500
     6   3.9928327366e-06   1.1974014432e-02   3.9479880509e-06   1.4793554495e-02      -7.220100      -7.214500
     7   4.3571882497e-06   1.4237114383e-02   4.3750906339e-06   1.8132862374e-02      -7.150600      -7.141300
     8   1.7560159946e-05   9.6243955281e-02   1.7520736865e-05   1.2091229237e-01      -6.607400      -6.603200
     9   5.4306997975e-06   2.0904953467e-02   5.4967286903e-06   2.6902406150e-02      -6.236600      -6.236700
    10   4.9311406733e-06   1.7802071285e-02   5.1208861832e-06   2.3963875935e-02      -6.236600      -6.234200
    11   5.2545435755e-06   1.9810804695e-02   5.7625542214e-06   2.8980767007e-02      -6.233100      -6.233500
    12   5.1536114243e-06   1.9183890765e-02   5.9065876857e-06   3.0106894783e-02      -6.232800      -6.230900
    13   5.7888264966e-06   2.3129364752e-02   5.0935835262e-06   2.3750409706e-02      -6.230700      -6.230100
    14   4.7660010650e-06   1.6776349357e-02   5.1397354190e-06   2.4111248965e-02      -6.230500      -6.222800
    15   4.7734160278e-06   1.6822405479e-02   5.6851841597e-06   2.8375848032e-02      -6.220500      -6.213100
    16   6.3455279209e-06   2.6587171538e-02   6.4214231038e-06   3.4132143135e-02      -6.205700      -6.203200
    17   5.0692689372e-06   1.8660019240e-02   4.8373275723e-06   2.1746868730e-02      -6.202700      -6.189100
