# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
    57   8.7428352436e-06   5.5650822502e-02   8.7428440701e-06   5.5650862413e-02      -3.098900      -3.098900
    58   6.7882247297e-06   3.9269119915e-02   6.7882204717e-06   3.9269060036e-02      -2.906700      -2.906700
    59   7.8016415267e-06   4.7762624092e-02   7.8016365655e-06   4.7762553202e-02      -2.704500      -2.704500
    60   7.8019152030e-06   4.7764917789e-02   7.8019118351e-06   4.7764860251e-02      -2.704500      -2.704500
    61   7.8510807372e-06   4.8176976945e-02   7.8510837434e-06   4.8176972580e-02      -2.669500      -2.669500
    62   7.0671943262e-06   4.1607180069e-02   7.0672311227e-06   4.1607462862e-02      -2.660900      -2.660900
    63   7.0682165552e-06   4.1615747429e-02   7.0682444881e-06   4.1615955930e-02      -2.660800      -2.660800
    64   7.8758537289e-06   4.8384600806e-02   7.8758526090e-06   4.8384561735e-02      -2.630800      -2.630800
    65   5.8935350406e-06   3.1770674423e-02   5.8935339494e-06   3.1770645606e-02      -2.630000      -2.630000
    66   5.9408684973e-06   3.2167378833e-02   5.9408748945e-06   3.2167412536e-02      -2.620700      -2.620700
    67   5.9406849767e-06   3.2165840736e-02   5.9406725899e-06   3.2165717011e-02      -2.620700      -2.620700
    68   6.5504718707e-06   3.7276499595e-02   6.5504720896e-06   3.7276478439e-02      -2.560800      -2.560800
    69   6.5504387135e-06   3.7276221703e-02   6.5504526138e-06   3.7276315212e-02      -2.560800      -2.560800
    70   6.6489561652e-06   3.8101902104e-02   6.6489561464e-06   3.8101878459e-02      -2.520000      -2.520000
    71   6.6897323288e-06   3.8443649465e-02   6.6897596843e-06   3.8443855039e-02      -2.504500      -2.504500
    72   6.6919419448e-06   3.8462168383e-02   6.6920856737e-06   3.8463349277e-02      -2.504500      -2.504500
    73   6.6087525424e-06   3.7764953241e-02   6.6087556524e-06   3.7764956021e-02      -2.493000      -2.493000
    74   6.6078921821e-06   3.7757742511e-02   6.6079019425e-06   3.7757801033e-02      -2.493000      -2.493000
    75   6.3761588471e-06   3.5815572168e-02   6.3761582424e-06   3.5815544990e-02      -2.427100      -2.427100
    76   6.5325456338e-06   3.7126258778e-02   6.5325464915e-06   3.7126243066e-02      -2.378800      -2.378800
    77   6.5311906257e-06   3.7114902378e-02   6.5311986751e-06   3.7114946947e-02      -2.378800      -2.378800
    78   8.4880386177e-06   5.3515357397e-02   8.4880439709e-06   5.3515369485e-02      -2.256800      -2.256800
    79   8.5445768036e-06   5.3989207169e-02   8.5445781817e-06   5.3989185656e-02      -2.088100      -2.088100
    80   8.5434897850e-06   5.3980096804e-02   8.5434870220e-06   5.3980040590e-02      -2.088100      -2.088100
    81   5.1612970653e-06   2.5633746043e-02   5.1612966988e-06   2.5633726997e-02      -1.528300      -1.528300
    82   8.1663622004e-06   5.0819368933e-02   8.1663653102e-06   5.0819363844e-02      -1.101400      -1.101400
    83   7.2122466033e-06   4.2822871505e-02   7.2122458097e-06   4.2822838521e-02      -0.951700      -0.951700
    84   7.2125833551e-06   4.2825693842e-02   7.2125818586e-06   4.2825654965e-02      -0.951700      -0.951700
    85   7.5809411737e-06   4.5912921802e-02   7.5809465508e-06   4.5912938672e-02      -0.895600      -0.895600
    86   6.2861301192e-06   3.5061036247e-02   6.2861282455e-06   3.5060998887e-02      -0.894200      -0.894200
    87   6.2851570375e-06   3.5052880793e-02   6.2851820972e-06   3.5053069169e-02      -0.894200      -0.894200
    88   5.9028158172e-06   3.1848457143e-02   5.9027721094e-06   3.1848071106e-02      -0.860300      -0.860300
    89   5.9038840112e-06   3.1857409738e-02   5.9038897207e-06   3.1857437865e-02      -0.860300      -0.860300
    90   6.9265204515e-06   4.0428184274e-02   6.9265209530e-06   4.0428163587e-02      -0.854600      -0.854600
    91   7.2864069976e-06   4.3444414014e-02   7.2864073503e-06   4.3444390263e-02      -0.761000      -0.761000
    92   7.2864388575e-06   4.3444681034e-02   7.2864417318e-06   4.3444678416e-02      -0.761000      -0.761000
    93   5.7142161734e-06   3.0267792734e-02   5.7142167984e-06   3.0267779205e-02      -0.324800      -0.324800
    94   6.2583243725e-06   3.4827994692e-02   6.2583220454e-06   3.4827953673e-02       0.290900       0.290900
    95   6.2979907871e-06   3.5160441183e-02   6.2979803791e-06   3.5160332238e-02       0.304100       0.304100
    96   6.2942011052e-06   3.5128679642e-02   6.2941923925e-06   3.5128584924e-02       0.304100       0.304100
    97   5.9590371204e-06   3.2319651103e-02   5.9590420771e-06   3.2319672642e-02       0.317600       0.317600
    98   5.9649190926e-06   3.2368948248e-02   5.9649256897e-06   3.2368983506e-02       0.317700       0.317700
    99   7.4671391829e-06   4.4959140804e-02   7.4671347420e-06   4.4959075963e-02       0.338800       0.338800
   100   7.1492783505e-06   4.2295130975e-02   7.1492782514e-06   4.2295104129e-02       0.683700       0.683700
   101   7.5426773676e-06   4.5592230653e-02   7.5426763707e-06   4.5592194295e-02       0.765200       0.765200
   102   6.8308686911e-06   3.9626521395e-02   6.8308612930e-06   3.9626434984e-02       0.770400       0.770400
   103   6.8290515816e-06   3.9611292097e-02   6.8290471983e-06   3.9611230962e-02       0.770400       0.770400
   104   7.3639956705e-06   4.4094689123e-02   7.3640047645e-06   4.4094738240e-02       0.799000       0.799000
   105   7.3621462334e-06   4.4079188885e-02   7.3621499916e-06   4.4079193292e-02       0.799100       0.799100
   106   7.5642528290e-06   4.5773055830e-02   7.5642540958e-06   4.5773038335e-02       0.808800       0.808800
   107   8.3312077242e-06   5.2200948703e-02   8.3312027427e-06   5.2200874967e-02       0.818400       0.818400
   108   8.0844117327e-06   5.0132537373e-02   8.0844073007e-06   5.0132469489e-02       0.835000       0.835000
   109   8.0873805211e-06   5.0157418958e-02   8.0873964106e-06   5.0157521375e-02       0.835000       0.835000
   110   7.6716851646e-06   4.6673452384e-02   7.6716970113e-06   4.6673523018e-02       0.854000       0.854000
   111   7.6702853902e-06   4.6661720794e-02   7.6702759634e-06   4.6661613141e-02       0.854100       0.854100
   112   6.6342250539e-06   3.7978439817e-02   6.6342256687e-06   3.7978421556e-02       0.898800       0.898800
   113   6.6339577535e-06   3.7976199557e-02   6.6339561723e-06   3.7976162893e-02       0.898800       0.898800
   114   1.0046255505e-05   6.6574862317e-02   1.0046256003e-05   6.6574825841e-02       0.932800       0.932800
   115   6.5176674318e-06   3.7001563715e-02   6.5176688915e-06   3.7001553124e-02       0.993100       0.993100
   116   6.5174418581e-06   3.6999673169e-02   6.5174671430e-06   3.6999862260e-02       0.993100       0.993100
   117   7.2540006745e-06   4.3172814766e-02   7.2540002944e-06   4.3172785036e-02       1.002400       1.002400
   118   6.9566872280e-06   4.0681013754e-02   6.9566917775e-06   4.0681026842e-02       1.010600       1.010600
   119   6.0238953320e-06   3.2863231486e-02   6.0238977415e-06   3.2863231350e-02       1.030400       1.030400
   120   6.0264416949e-06   3.2884572700e-02   6.0264333841e-06   3.2884482703e-02       1.030400       1.030400
   121   5.9034987089e-06   3.1854180497e-02   5.9035011761e-06   3.1854181453e-02       1.032700       1.032700
   122   6.2193619203e-06   3.4501448150e-02   6.2193591522e-06   3.4501403632e-02       1.044100       1.044100
   123   6.2217113215e-06   3.4521138617e-02   6.2217344980e-06   3.4521311530e-02       1.044100       1.044100
   124   6.9217961050e-06   4.0388589255e-02   6.9217909181e-06   4.0388520918e-02       1.047400       1.047400
   125   5.9620306579e-06   3.2344740111e-02   5.9620205521e-06   3.2344635396e-02       1.055000       1.055000
