# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
     1   1.9710627902e-06   0.0000000000e+00   1.9771927859e-06   0.0000000000e+00      -8.291000      -8.285900
     2   1.7765813692e-05   1.0971881707e-01   1.7591780850e-05   1.2452130841e-01      -7.466200      -7.463100
     3   4.0136633529e-06   1.4188999806e-02   4.0164553304e-06   1.6262461692e-02      -7.284200      -7.281600
     4   4.0136959338e-06   1.4189226130e-02   4.0164958755e-06   1.6262785026e-02      -7.284200      -7.281600
     5   4.0458303076e-06   1.4412448737e-02   4.0704749192e-06   1.6693250507e-02      -7.240700      -7.233700
     6   4.0458448883e-06   1.4412550023e-02   4.0704872754e-06   1.6693349043e-02      -7.240600      -7.233700
     7   4.6441914677e-06   1.8568986506e-02   4.7097875686e-06   2.1791562884e-02      -7.156000      -7.144800
     8   1.9040267206e-05   1.1857185520e-01   1.8989617431e-05   1.3566860473e-01      -6.627000      -6.623600
     9   5.2913573903e-06   2.3064548349e-02   5.2936716547e-06   2.6447850329e-02      -6.284500      -6.282300
    10   5.2903040046e-06   2.3057230966e-02   5.2927408162e-06   2.6440427192e-02      -6.284500      -6.282300
    11   6.0394697513e-06   2.8261338333e-02   6.0330899598e-06   3.2344473054e-02      -6.275800      -6.273600
    12   6.0396701932e-06   2.8262730710e-02   6.0333384412e-06   3.2346454613e-02      -6.275800      -6.273600
    13   4.4633223881e-06   1.7312572803e-02   4.4627179437e-06   1.9821262237e-02      -6.262800      -6.258400
    14   6.0086558865e-06   2.8047288689e-02   6.0518788025e-06   3.2494308020e-02      -6.237800      -6.231400
    15   6.0080167994e-06   2.8042849248e-02   6.0498801784e-06   3.2478369637e-02      -6.237800      -6.231400
    16   6.4397163296e-06   3.1041665884e-02   6.4689769711e-06   3.5820531516e-02      -6.225500      -6.222300
    17   4.6947802172e-06   1.8920403112e-02   4.7052034974e-06   2.1755006393e-02      -6.182000      -6.166000
    18   4.6953262793e-06   1.8924196352e-02   4.7058879908e-06   2.1760465007e-02      -6.182000      -6.166000
    19   5.2800591435e-06   2.2986064663e-02   5.2530929274e-06   2.6124248054e-02      -6.010600      -5.988700
    20   9.2438823876e-06   5.0520908365e-02   9.1679291778e-06   5.7343805696e-02      -5.515500      -5.510900
    21   5.8082279640e-06   2.6655008767e-02   5.7727132816e-06   3.0268052945e-02      -5.260300      -5.255600
    22   4.1168526788e-06   1.4905808247e-02   4.1274442640e-06   1.7147562675e-02      -5.254700      -5.248400
    23   4.1207376559e-06   1.4932795383e-02   4.1308075781e-06   1.7174384021e-02      -5.254700      -5.248400
    24   4.3842051950e-06   1.6762982317e-02   4.5855259258e-06   2.0800616323e-02      -5.231000      -5.224500
    25   4.1693107854e-06   1.5270210411e-02   4.1824770680e-06   1.7586431554e-02      -5.229600      -5.214700
    26   4.1773158104e-06   1.5325817610e-02   4.1834232581e-06   1.7593977115e-02      -5.229600      -5.214700
    27   5.2391933844e-06   2.2702189167e-02   5.2266551642e-06   2.5913415412e-02      -5.068500      -5.045200
    28   7.9782739018e-06   4.1729312550e-02   7.6033257196e-06   4.4866597270e-02      -4.458600      -4.447000
    29   4.2491251052e-06   1.5824643513e-02   4.2591444300e-06   1.8197829062e-02      -4.268800      -4.263300
    30   4.2492033822e-06   1.5825187268e-02   4.2592059197e-06   1.8198319422e-02      -4.268800      -4.263300
    31   4.3272746424e-06   1.6367512143e-02   4.3769781456e-06   1.9137514974e-02      -4.247800      -4.238200
    32   4.3273079483e-06   1.6367743503e-02   4.3769266414e-06   1.9137104246e-02      -4.247800      -4.238200
    33   5.3366786974e-06   2.3379374473e-02   5.3600021141e-06   2.6976814369e-02      -4.190600      -4.183000
    34   1.0412961574e-05   5.8641959857e-02   1.0535768367e-05   6.8251882483e-02      -3.868500      -3.856300
    35   6.9816649096e-06   3.4806331594e-02   6.8787449794e-06   3.9088299345e-02      -3.380300      -3.377100
    36   6.9813982742e-06   3.4804479401e-02   6.8791081896e-06   3.9091195828e-02      -3.380300      -3.377000
    37   8.2653749496e-06   4.3723670520e-02   8.2559911175e-06   5.0071393513e-02      -3.373100      -3.372200
    38   7.0769675029e-06   3.5468354557e-02   7.1444164248e-06   4.1206943516e-02      -3.372900      -3.370100
    39   7.0855821726e-06   3.5528196676e-02   7.1463965841e-06   4.1222734648e-02      -3.372900      -3.370100
    40   7.4156173700e-06   3.7820798293e-02   7.3490244204e-06   4.2838626351e-02      -3.358900      -3.355600
    41   6.7662287913e-06   3.3309796688e-02   6.7339061956e-06   3.7933256714e-02      -3.357300      -3.353500
    42   6.7631415914e-06   3.3288351341e-02   6.7309892615e-06   3.7909995105e-02      -3.357300      -3.353500
    43   7.5554042826e-06   3.8791833214e-02   7.5284856144e-06   4.4269771547e-02      -3.345300      -3.343900
    44   6.1327669171e-06   2.8909430520e-02   6.3441142670e-06   3.4824791684e-02      -3.338700      -3.336300
    45   6.1267069105e-06   2.8867334462e-02   6.3395876221e-06   3.4788693150e-02      -3.338600      -3.336300
    46   6.3829095987e-06   3.0647055842e-02   6.5422504936e-06   3.6404864246e-02      -3.332700      -3.328900
    47   6.3774200580e-06   3.0608922546e-02   6.5369491663e-06   3.6362587870e-02      -3.332700      -3.328600
    48   6.4195725492e-06   3.0901736374e-02   6.5437690036e-06   3.6416973875e-02      -3.331300      -3.328600
    49   6.2864062927e-06   2.9976692084e-02   6.0230025041e-06   3.2264028844e-02      -3.304600      -3.292700
    50   6.2862534883e-06   2.9975630623e-02   6.0230651826e-06   3.2264528686e-02      -3.304600      -3.292700
    51   7.4947486132e-06   3.8370486380e-02   7.6470573399e-06   4.5215342851e-02      -3.293300      -3.282600
    52   6.5809849915e-06   3.2022993831e-02   6.3614144737e-06   3.4962755258e-02      -3.289600      -3.279300
    53   6.5870857723e-06   3.2065373129e-02   6.3648320857e-06   3.4990009612e-02      -3.289500      -3.279300
    54   8.8124418888e-06   4.7523891099e-02   8.8299260711e-06   5.4648339833e-02      -3.265800      -3.262800
    55   7.8122755038e-06   4.0576198584e-02   7.2034483985e-06   4.1677704484e-02      -3.205100      -3.180100
    56   7.8122907751e-06   4.0576304666e-02   7.2028282026e-06   4.1672758622e-02      -3.205100      -3.180100
    57   7.0661424849e-06   3.5393158172e-02   7.2127878414e-06   4.1752183532e-02      -3.029300      -3.017000
    58   5.9819155593e-06   2.7861536024e-02   5.9687322860e-06   3.1831241343e-02      -2.832300      -2.828800
    59   7.7528788692e-06   4.0163597680e-02   7.7808224768e-06   4.6282076715e-02      -2.611400      -2.609500
    60   7.7517386921e-06   4.0155677398e-02   7.7796569554e-06   4.6272782058e-02      -2.611400      -2.609500
    61   7.2681050734e-06   3.6796098708e-02   7.2476971364e-06   4.2030573911e-02      -2.580900      -2.578500
    62   6.8463948105e-06   3.3866672884e-02   6.7290573839e-06   3.7894589003e-02      -2.579900      -2.575500
    63   6.8487834524e-06   3.3883265672e-02   6.7312631510e-06   3.7912179285e-02      -2.579900      -2.575400
    64   5.6222223714e-06   2.5362914088e-02   5.6337043930e-06   2.9159501850e-02      -2.566300      -2.564000
    65   5.4037857452e-06   2.3845536044e-02   5.3494484899e-06   2.6892652617e-02      -2.561400      -2.557600
    66   5.4033359757e-06   2.3842411704e-02   5.3475264298e-06   2.6877324807e-02      -2.561400      -2.557600
    67   7.8803737631e-06   4.1049245642e-02   7.6916585676e-06   4.5571023270e-02      -2.556800      -2.548600
    68   5.6627778548e-06   2.5644634242e-02   5.7002951291e-06   2.9690541513e-02      -2.549600      -2.543000
    69   5.6664402427e-06   2.5670075155e-02   5.7042252410e-06   2.9721882889e-02      -2.549600      -2.543000
    70   6.1510981137e-06   2.9036768851e-02   6.1642531518e-06   3.3390457246e-02      -2.529200      -2.521400
    71   5.7195261319e-06   2.6038838233e-02   5.8154891924e-06   3.0609177050e-02      -2.524100      -2.518900
    72   5.7204395858e-06   2.6045183574e-02   5.8172702783e-06   3.0623380636e-02      -2.524100      -2.518900
    73   6.8233033740e-06   3.3706267372e-02   6.8366264750e-06   3.8752417843e-02      -2.505900      -2.501900
    74   6.8233796732e-06   3.3706797388e-02   6.8363093273e-06   3.8749888693e-02      -2.505900      -2.501900
    75   5.9000344889e-06   2.7292746163e-02   5.9453282145e-06   3.1644601414e-02      -2.476500      -2.465300
    76   5.9474476821e-06   2.7622103650e-02   6.0289270966e-06   3.2311275561e-02      -2.470100      -2.457300
    77   5.9397195270e-06   2.7568419737e-02   6.0213770633e-06   3.2251066478e-02      -2.470100      -2.457300
    78   6.9802447983e-06   3.4796466738e-02   7.0714058649e-06   4.0624707826e-02      -2.432500      -2.423000
    79   8.6041122050e-06   4.6076721301e-02   8.8241023643e-06   5.4601897648e-02      -2.330500      -2.267100
    80   8.6037388317e-06   4.6074127650e-02   8.8239857652e-06   5.4600967807e-02      -2.330400      -2.267000
    81   5.8409476859e-06   2.6882297517e-02   5.5754331571e-06   2.8694807520e-02      -1.655800      -1.596700
    82   8.3980821487e-06   4.4645525951e-02   8.2878983924e-06   5.0325843750e-02      -1.070300      -1.062600
    83   7.4346220189e-06   3.7952814784e-02   7.4437583886e-06   4.3594099222e-02      -0.905700      -0.901700
    84   7.4343864881e-06   3.7951178661e-02   7.4435561616e-06   4.3592486527e-02      -0.905700      -0.901700
    85   5.9314537978e-06   2.7511001546e-02   6.2251592123e-06   3.3876163453e-02      -0.869700      -0.860200
    86   5.9312999270e-06   2.7509932676e-02   6.2255192417e-06   3.3879034571e-02      -0.869700      -0.860200
    87   7.5487964405e-06   3.8745931596e-02   7.5247618980e-06   4.4240076108e-02      -0.861300      -0.856900
    88   6.2803223811e-06   2.9934429969e-02   5.8257888717e-06   3.0691313674e-02      -0.858700      -0.852400
    89   6.2794900080e-06   2.9928647858e-02   5.8249786342e-06   3.0684852290e-02      -0.858600      -0.852400
    90   7.0131485076e-06   3.5025033563e-02   7.0177910350e-06   4.0197146834e-02      -0.847800      -0.841800
    91   7.2588687553e-06   3.6731938286e-02   7.4292519683e-06   4.3478415194e-02      -0.805800      -0.774800
    92   7.2592437991e-06   3.6734543541e-02   7.4293666609e-06   4.3479329831e-02      -0.805800      -0.774800
    93   5.8527006789e-06   2.6963940114e-02   5.6636598181e-06   2.9398386712e-02      -0.454300      -0.395300
    94   5.6400457855e-06   2.5486725088e-02   5.5307647809e-06   2.8338591613e-02       0.345600       0.357800
    95   5.1686432439e-06   2.2212110025e-02   5.1801763205e-06   2.5542761609e-02       0.397600       0.401100
    96   5.1683667313e-06   2.2210189220e-02   5.1800411880e-06   2.5541683972e-02       0.397600       0.401100
    97   5.2455335796e-06   2.2746231565e-02   5.3163003998e-06   2.6628307279e-02       0.419500       0.426700
    98   5.2459086286e-06   2.2748836857e-02   5.3167323289e-06   2.6631751775e-02       0.419500       0.426700
    99   6.7103951696e-06   3.2921946385e-02   6.8326722397e-06   3.8720884091e-02       0.457300       0.463600
   100   7.3232525352e-06   3.7179182577e-02   7.1723420937e-06   4.1429641727e-02       0.676500       0.695900
   101   9.0957272285e-06   4.9491743113e-02   9.0879954507e-06   5.6706359979e-02       0.854600       0.857600
   102   9.0977494658e-06   4.9505790658e-02   9.0899283111e-06   5.6721773918e-02       0.854600       0.857600
   103   7.5533653524e-06   3.8777669710e-02   7.5529591869e-06   4.4464940401e-02       0.891300       0.891600
   104   7.2963593634e-06   3.6992368171e-02   7.2148661406e-06   4.1768757298e-02       0.900900       0.902700
   105   7.2968523536e-06   3.6995792746e-02   7.2147636519e-06   4.1767939984e-02       0.900900       0.902700
   106   7.3724810515e-06   3.7521150273e-02   7.3624451813e-06   4.2945652595e-02       0.909100       0.911800
   107   7.3686761116e-06   3.7494719118e-02   7.3573542488e-06   4.2905054048e-02       0.909100       0.911900
   108   7.5966250775e-06   3.9078174979e-02   7.5902591427e-06   4.4762395530e-02       0.912300       0.914300
   109   7.8705495382e-06   4.0981001303e-02   7.8637350800e-06   4.6943278009e-02       0.912300       0.914500
   110   7.4035050642e-06   3.7736659716e-02   7.3614769468e-06   4.2937931236e-02       0.931300       0.935900
   111   7.4035120022e-06   3.7736707911e-02   7.3611733369e-06   4.2935510046e-02       0.931300       0.936000
   112   6.9739190936e-06   3.4752524999e-02   6.9785817035e-06   3.9884465049e-02       0.938600       0.941400
   113   6.9747912746e-06   3.4758583636e-02   6.9791749954e-06   3.9889196361e-02       0.938600       0.941400
   114   8.2905725459e-06   4.3898706548e-02   8.3739936796e-06   5.1012425923e-02       0.960200       0.967000
   115   7.4152371816e-06   3.7818157301e-02   7.4338881586e-06   4.3515387318e-02       0.994600       1.005700
