# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
     1   2.0127616694e-06   0.0000000000e+00   2.0169481832e-06   0.0000000000e+00      -8.335300      -8.333500
     2   1.4173171270e-05   9.0327911333e-02   1.4092774460e-05   1.0297812381e-01      -7.484400      -7.483200
     3   4.1343589485e-06   1.5759292425e-02   4.1355870914e-06   1.8066959129e-02      -7.335500      -7.334400
     4   4.1343732630e-06   1.5759398753e-02   4.1356006818e-06   1.8067075023e-02      -7.335500      -7.334400
     5   4.2522236675e-06   1.6634795326e-02   4.2660641248e-06   1.9179618403e-02      -7.273100      -7.270700
     6   4.2518263230e-06   1.6631843839e-02   4.2656773923e-06   1.9176320493e-02      -7.273100      -7.270700
     7   5.0513017948e-06   2.2570373206e-02   5.0805146926e-06   2.6124947815e-02      -7.176400      -7.172500
     8   2.0355624616e-05   1.3625137246e-01   2.0338670435e-05   1.5624078545e-01      -6.653700      -6.652300
     9   5.2990834544e-06   2.4410903295e-02   5.3029567277e-06   2.8021850181e-02      -6.332800      -6.331900
    10   5.2983853397e-06   2.4405717677e-02   5.3022775366e-06   2.8016058294e-02      -6.332800      -6.331900
    11   6.1225127558e-06   3.0527362475e-02   6.1217291210e-06   3.5004034502e-02      -6.317200      -6.316200
    12   6.1225785182e-06   3.0527850960e-02   6.1218057809e-06   3.5004688228e-02      -6.317100      -6.316200
    13   4.4787330254e-06   1.8317314079e-02   4.4786264269e-06   2.0992270106e-02      -6.302300      -6.300400
    14   6.1388759882e-06   3.0648909088e-02   6.1536216909e-06   3.5276002394e-02      -6.259300      -6.257100
    15   6.1375399265e-06   3.0638984779e-02   6.1506864095e-06   3.5250971413e-02      -6.259300      -6.257100
    16   6.4427905020e-06   3.2906395814e-02   6.4567114321e-06   3.7860638192e-02      -6.255000      -6.253800
    17   4.5872915629e-06   1.9123690367e-02   4.6006864330e-06   2.2033152124e-02      -6.172300      -6.165600
    18   4.5887285742e-06   1.9134364532e-02   4.6020708765e-06   2.2044958140e-02      -6.172200      -6.165600
    19   5.2784520460e-06   2.4257652534e-02   5.2723038147e-06   2.7760453619e-02      -6.002000      -5.994200
    20   9.6260224999e-06   5.6551544875e-02   9.5929931550e-06   6.4605674115e-02      -5.555800      -5.553900
    21   5.8582407560e-06   2.8564341610e-02   5.8508513509e-06   3.2694090328e-02      -5.279200      -5.277300
    22   4.1721794700e-06   1.6040224468e-02   4.1771459264e-06   1.8421357310e-02      -5.262600      -5.259800
    23   4.1753614111e-06   1.6063860028e-02   4.1802061208e-06   1.8447453501e-02      -5.262600      -5.259800
    24   4.4367465481e-06   1.8005437183e-02   4.5034818180e-06   2.1204227573e-02      -5.223600      -5.220100
    25   4.2926186974e-06   1.6934850900e-02   4.3060865111e-06   1.9520914325e-02      -5.218800      -5.211700
    26   4.3002401290e-06   1.6991463137e-02   4.3102692315e-06   1.9556582998e-02      -5.218700      -5.211600
    27   5.5073819469e-06   2.5958151158e-02   5.5062512824e-06   2.9755470005e-02      -5.022000      -5.011400
    28   6.4411260416e-06   3.2894032149e-02   6.3067170361e-06   3.6581542159e-02      -4.454300      -4.449500
    29   4.4651056507e-06   1.8216089504e-02   4.4720369284e-06   2.0936077331e-02      -4.304000      -4.301700
    30   4.4652284651e-06   1.8217001774e-02   4.4721422591e-06   2.0936975552e-02      -4.304000      -4.301700
    31   4.6011480965e-06   1.9226617141e-02   4.6277542374e-06   2.2263976222e-02      -4.282500      -4.279100
    32   4.6009826466e-06   1.9225388174e-02   4.6275605081e-06   2.2262324172e-02      -4.282500      -4.279100
    33   5.5124092441e-06   2.5995494082e-02   5.5191580171e-06   2.9865533805e-02      -4.236800      -4.233500
    34   1.1172702513e-05   6.8040333465e-02   1.1197963162e-05   7.8292257234e-02      -3.879400      -3.873000
    35   8.2661274405e-06   4.6450200892e-02   8.2622656543e-06   5.3257728377e-02      -3.430000      -3.429700
    36   6.9224142125e-06   3.6469056071e-02   6.9255005350e-06   4.1858296089e-02      -3.425200      -3.424500
    37   6.9246595758e-06   3.6485734701e-02   6.9274652670e-06   4.1875050588e-02      -3.425100      -3.424500
    38   7.0070505099e-06   3.7097737194e-02   7.0274009746e-06   4.2727264874e-02      -3.416500      -3.415000
