# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
     1   5.2317867788e-06   1.3268827996e-02   4.0201591119e-06   2.3243229404e-03      -8.297900      -8.279200
     2   3.9371227705e-05   3.2843279361e-01   3.5786150142e-05   2.8306177510e-01      -7.651600      -7.601200
     3   4.0658359761e-06   2.5051579201e-03   4.0596357370e-06   2.6732044577e-03      -7.230000      -7.224400
     4   4.0647472583e-06   2.4951072392e-03   4.0586654419e-06   2.6646293065e-03      -7.229900      -7.224400
     5   3.8999552106e-06   9.7380185633e-04   3.9018122864e-06   1.2784123550e-03      -7.189500      -7.185400
     6   3.9004535403e-06   9.7840227050e-04   3.9021605623e-06   1.2814903037e-03      -7.189500      -7.185400
     7   4.3128964924e-06   4.7859384465e-03   4.2993158426e-06   4.7914189377e-03      -7.171100      -7.161700
     8   1.3106066931e-05   8.5961563784e-02   1.3696761151e-05   8.7842970839e-02      -6.670300      -6.643400
     9   5.4926039849e-06   1.5676605707e-02   5.5260683427e-06   1.5633056807e-02      -6.254200      -6.246600
    10   5.4919751736e-06   1.5670800731e-02   5.5255770620e-06   1.5628715029e-02      -6.254100      -6.246600
    11   5.4858777914e-06   1.5614511726e-02   5.4674907705e-06   1.5115367359e-02      -6.221200      -6.215500
    12   5.4850851218e-06   1.5607194064e-02   5.4667433656e-06   1.5108762039e-02      -6.221200      -6.215500
    13   6.4469621867e-06   2.4486923256e-02   6.4474942643e-06   2.3776318112e-02      -6.207900      -6.201500
    14   4.6745250843e-06   8.1243733482e-03   4.8162319189e-06   9.3597543662e-03      -6.186800      -6.182100
    15   4.6758681619e-06   8.1367721938e-03   4.8182433774e-06   9.3775309791e-03      -6.186800      -6.182100
    16   5.9330785225e-06   1.9742920159e-02   5.9267653751e-06   1.9174286289e-02      -6.183000      -6.179000
    17   5.9331556003e-06   1.9743631717e-02   5.9268460876e-06   1.9174999600e-02      -6.183000      -6.179000
    18   4.4354062124e-06   5.9169074418e-03   4.4357552849e-06   5.9972261602e-03      -6.178300      -6.175200
    19   5.1520336151e-06   1.2532573310e-02   5.1495076924e-06   1.2305136786e-02      -6.074900      -6.062700
    20   8.6209643915e-06   4.4556588650e-02   8.6486420905e-06   4.3229343581e-02      -5.488100      -5.469600
    21   4.1574958628e-06   3.3513315128e-03   5.8148060763e-06   1.8184826579e-02      -5.248000      -5.241700
    22   4.1570009570e-06   3.3467627066e-03   4.1476707472e-06   3.4512291201e-03      -5.248000      -5.240500
    23   5.7799421080e-06   1.8329215706e-02   4.1475566314e-06   3.4502206027e-03      -5.246900      -5.240500
    24   3.8037655193e-06   8.5810613909e-05   3.7571574315e-06   0.0000000000e+00      -5.218400      -5.212800
    25   4.1106894421e-06   2.9192302023e-03   4.1100524309e-06   3.1187707292e-03      -5.215900      -5.211000
    26   4.1124846579e-06   2.9358030370e-03   4.1129300660e-06   3.1442023287e-03      -5.215900      -5.211000
    27   4.9622838622e-06   1.0780866692e-02   5.0129447499e-06   1.1098238109e-02      -5.100500      -5.092500
    28   1.0496582555e-05   6.1871671798e-02   1.0582576384e-05   6.0320823131e-02      -4.562000      -4.538400
    29   4.2682895710e-06   4.3741421828e-03   4.2605976622e-06   4.4492403070e-03      -4.248000      -4.241400
    30   4.2682056709e-06   4.3733676443e-03   4.2605110238e-06   4.4484746249e-03      -4.248000      -4.241400
    31   4.2747343733e-06   4.4336384539e-03   4.2607115980e-06   4.4502472342e-03      -4.233300      -4.226500
    32   4.2746566372e-06   4.4329208202e-03   4.2606516604e-06   4.4497175252e-03      -4.233300      -4.226500
    33   5.0457778923e-06   1.1551655813e-02   5.0687436723e-06   1.1591370758e-02      -4.119700      -4.113100
    34   7.3987469871e-06   3.3273484019e-02   7.6864594008e-06   3.4725887273e-02      -3.893000      -3.875300
