# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
    57   6.2678015381e-06   3.4568926127e-02   6.2678004687e-06   3.4561281788e-02      -2.976100      -2.976100
    58   6.8476040091e-06   3.9392513401e-02   6.8476052136e-06   3.9383823776e-02      -2.795000      -2.795000
    59   6.3757814118e-06   3.5467249902e-02   6.3757438678e-06   3.5459103993e-02      -2.581800      -2.581800
    60   6.3755392751e-06   3.5465235479e-02   6.3754036898e-06   3.5456274553e-02      -2.581700      -2.581700
    61   6.0782050761e-06   3.2991604321e-02   6.0782041351e-06   3.2984309043e-02      -2.536500      -2.536500
    62   6.2847323209e-06   3.4709779457e-02   6.2845550128e-06   3.4700638171e-02      -2.527400      -2.527400
    63   6.2823623710e-06   3.4690062983e-02   6.2825012744e-06   3.4683556145e-02      -2.527400      -2.527400
    64   6.1721926938e-06   3.3773521438e-02   6.1721100603e-06   3.3765374171e-02      -2.520800      -2.520800
    65   6.1655555683e-06   3.3718304781e-02   6.1655526780e-06   3.3710832963e-02      -2.520800      -2.520800
    66   6.2970481339e-06   3.4812239177e-02   6.2972303352e-06   3.4806065515e-02      -2.517400      -2.517400
    67   6.2931990256e-06   3.4780217048e-02   6.2932809611e-06   3.4773216487e-02      -2.517400      -2.517400
    68   8.3970585913e-06   5.2282988654e-02   8.3970506642e-06   5.2271379131e-02      -2.513200      -2.513200
    69   5.6503679013e-06   2.9432271522e-02   5.6503681271e-06   2.9425771224e-02      -2.504300      -2.504300
    70   5.4616470311e-06   2.7862234082e-02   5.4616784483e-06   2.7856339606e-02      -2.495100      -2.495100
    71   5.4644481621e-06   2.7885537708e-02   5.4644887904e-06   2.7879714704e-02      -2.495100      -2.495100
    72   6.0984829428e-06   3.3160303256e-02   6.0985133552e-06   3.3153231543e-02      -2.483300      -2.483300
    73   6.1079191342e-06   3.3238806359e-02   6.1079456070e-06   3.3231684558e-02      -2.483300      -2.483300
    74   7.4649923338e-06   4.4528791038e-02   7.4650020268e-06   4.4519038832e-02      -2.480000      -2.480000
    75   5.9689303815e-06   3.2082508461e-02   5.9690211070e-06   3.2076176190e-02      -2.477800      -2.477800
    76   5.9559795246e-06   3.1974765579e-02   5.9560805821e-06   3.1968543017e-02      -2.477700      -2.477700
    77   5.7440256917e-06   3.0211444687e-02   5.7440246771e-06   3.0204762166e-02      -2.474200      -2.474200
    78   5.8182945744e-06   3.0829314488e-02   5.8182935491e-06   3.0822495562e-02      -2.455800      -2.455800
    79   7.2455971433e-06   4.2703562790e-02   7.2455893325e-06   4.2694067684e-02      -2.452700      -2.452700
    80   7.2498999539e-06   4.2739359433e-02   7.2496664964e-06   4.2727979607e-02      -2.452700      -2.452700
    81   6.5486824838e-06   3.6905676698e-02   6.5486818815e-06   3.6897520701e-02      -1.820100      -1.820100
    82   8.5513726871e-06   5.3566783645e-02   8.5513758258e-06   5.3554982927e-02      -1.050100      -1.050100
